,text
72,"самокат это классно, но продуктики иногда не вкусненькие"
73,"я думаю, что продавать тухляк и некондицию, как вы это обычно делаететупиковый путь, потому что есть лавка и озон фреш как минимум. свое конкурентное преимуществоскорость вы тоже проли. цены у вас космос, кофе лебо num гр num. лавка форева."
74,"раньше было все очень здорово , но маленький ассортимент , сейчас выбора в разы больше , но очень огромные цены"
75,"продукция самокат вся невкусная, но ее будто больше всего. хотелось бы больше товаров нормальных фирм. качество продуктов фирмы самокат низкое, цена высокая. беру иногда от безвыходности. когда лень идти в магазин. или долго ждать. привозят быстро."
76,"ужасно раздражает когда минимальная стоимость заказа возрастает до небес! однажды заказ задержали больше чем на час, при том что у меня не отдаленный район. так никто за это даже не извинился! я думала что хотя бы какойто промокод рублей на numnum дадут."
77,очень часто стали задерживать доставку!!! и никаких потом извинений и скидок нет
78,"очень быстро, много ассортимента и удобно в заказе"
79,"цены выше ,чем в яндекс маркете ,но можно оплачивать балами спасибо от сбер ,поэтому выгодно пользоваться только если есть балы"
80,долго идет курьер.
81,"время часто стало не совпадать с фактическим по доставке, а так меня все устраивает, хотелось бы увеличение кол во дару сторов"
82,самокат расположен в моем доме. в последнее время стали доставлять заметно дольше.
83,"курьеры часто приходят не на тот адрес, приходится созваниваться и на пальцах объяснять куда идти, либо вообще выходить встречать. люди несерьезно относятся к работе в этом моменте"
84,"пишите доставка num минут, а по факту всегда дольше"
85,"хорошо, но дороговато. маленький выбор мороженого"
86,"иногда курьер идт очень долго, но в следующий раз курьер приходит очень быстро, и не успеваешь планировать время, а время это самый ценный ресурс в нашей жизни, что я хочу этим сказать? так вот, если вы рекламируете доставку за от num минут, прошу достави"
87,самокат не положит для доставки свежих овощейфруктов. срок годности продуктов иногда заканчивается через пару суток
88,"очень долгая доставка.пишите num минут, а по факту все num"
89,постоянные ограничения при минимальном заказе отбивают желание заказывать чтолибо. еще нехватка ассортимента расстраивает
90,"долгие доставки, высокие цены."
91,"удивительно быстро, вы супер"
92,все долго
93,не списываются бонусы спасибо. минимальная сумма заказа часто высокая
94,"было бы круто, если бы вы сотрудничали с пекарнями, они на каждом шагу у нас в городе, а с работы не всегда можно сбежать в магазин, пирожки в самокате конечно прикольные, но вс готовое, что долго хранится, не очень на вкус,"
95,"товар не доставляется за num минут, сумма заказа постоянно прыгает"
96,"минимальная сумма заказа постоянно растет, поэтому создается плохое впечатление "
97,мне нравится
98,
99,ассортимент скромный но в целом молодцы
100,очень долгая у вас доставка
101,"я помню тот первый заказ в num году который открыл мне невероятный мир быстрых заказов продуктов, до num года я была увела что ни за что не уйду к конкурентам, сейчас же я делаю не больше одного заказа, num мин объективно не выдерживает доставка а стм"
102,стало очень дорого. легче самому до магазина дойти
103,"хорошо, но дорого"
104,"постоянный обман с доставкой, вы не имеете право писать доставка за num мин, и никаких встречных решений ни одного вопроса"
105,самокат не так уж плох но именно это цефезе допускают частые опоздания задержку товаров превышают цены для заказа лимита я очень этим дедавольна я думаю так думают многие клиенты
106,ок
107,"думаю что вы не достаточно нацелены на клиентов , и в поддержи используете слишком часто отговорки на системы автоматизации, будто она управляет вашим персоналом, лишили меня ужина изза того что кто то на долю секунды раньше добавьте оплату при получени"
108,я написала 
109,"доставка не вовремя. время одно , по факту другое"
110,плохое и некачественное соблюдение норм хранения продуктов  в частности молоко и сливки. очень часто привозят молоко сроком подходящим к концу. молоко оказывается кислым. не раз жаловалась в службу поддержки. в итоге перестала заказывать.
111,"слишклм долгая доставка,дорого,нужно улучшить ассортимент"
112,очень медленная доставка. последний год всегда доставка от num минут.
113,"отвратительно работаете, из num заказов вовремя приедет максимум num"
114,"достаточно завышенные цены, но доставка на высоте."
115,не хватает алкоголя и сигарет
116,"быстро, удобно, доступно"
117,долго
118,"вс хорошо, но с курьерами везет когда как"
119,продукты не всегда свежие. курьер привозит заказ каждый раз поразному. цены очень сильно отличаются от тех что в магазинах. товары не соответствуют фотографиям что приложены в приложении.
120,
121,"часто привозят продукты не свежие,часто такое что товар годен деньдваответ поддержки одинчто все хорошо, так и должно быть. часто задерживаются курьеры"
122,в целом неплохо
123,залупа ебаная. овнер самоката хуесос
124,дорого. хотелось бы круглосуточно
125,"вечно товар приходит то мятый , то гнилой !"
126,очень долгая доставка
127,очень долго
128,хочется по больше ассортимента
129,"дорого, ребята"
130,"все хорошо, в общем. давно заказываю, почти каждый день. но теперь каждый заказ задерживают. и это дико бесит. если заявляете num мин, так и пусть привозят. опоздали , компенсируйте. вотвот будет у вас  это иногда длится numnum мин ещ."
131,"очень часто доставку задерживают, хотя пишут что курьер вот вот будет у меня. жду часами!"
132,если пишите что доставка быстрая такая и должна быть . мы заказываем в основном для работы и срочно а получается быстрее добежать до магазина и вернуться
133,улучшить условия работы для курьеров и дела пойдут в гору.
134,курьеры всегда задерживаются по утрам
135,"очень долгая доставка , последнее время ужасное качество продуктов"
136,говно
137,"у вас забастовки, а страдают от этого клиенты. проконсультировать нормально так и не смогли, даже не смогли ответить доставят ли мне сегодня товар или нет. вы худшие в плане тех поддержки"
138,доставка больше num минут
139,"к курьеру претензий нет,а к поиску курьера есть вопрос. искали курьера numм, потом он ехал numм.наймите больше сотрудников, если люди не идут к вам работать или уходят, прибавьте зп. смысл обещаний в numмnumм доставим, пишите сразу от numч и вопросов не будет!"
140,"в последнее время привозят то разлито,то не свежее очень,то разбито"
141,долгая и не качественная доставка.
142,все хорошо !
143,"фрукты не нравятся , совсем безвкусные , не спелые"
144,привет
145,слишком долго собирают заказы и очень долго доставляют
146,"все ок в целом,но иногда возникают не приятные ситуации"
147,"часто привозятся товары, почти с истекшим сроком годностиэто главный минус"
148,"очень удобно для мамочек в декретеребятишки молодцы, правда иногда забывают что то положить"
149,"очень долго стали доставлять. num минут с учетом того, что до даркстора всего num минут ходьбы, в следующий раз проще будет самому до магазина дойти."
150,"дорого, но удобно"
151,"не всегда есть выбор,часто нет товара,не всегда свежее"
152,"напишите, пожалуйста сразу, если курьер не успевает, в этом нет его вины, он то самую ужасную часть работы выполняет"
153,к сожалению заказ очень долго висит что его скоро начнут собирать
154,"слишком долго отвечает и решает проблемы поддержка, слишком долго везут заказ"
155,"доставляете правда за num минут! от заказа а приле до двери и все будет топчик! стали часто опаздывать, в обычную нормальную погоду"
156,"иногда слишком дорого, овощи резиновые"
157,последний курьер не совсем компетентный
158,спасибо что вы есть
159,норм
160,"часто приходят не самые свежие продукты, а которым буквально осталось пару дней, это расстраивает без предупреждения убираете позицию из заказа, а предупреждает уже курьер на месте, и зачем? ведь можно позвонить заранее и поменять на чтонибудь другое"
161,реальное время доставки и о задержках предупреждают только после оплаты
162,очень плохие курьеры
163,"пользуюсь часто вашим сервисом, но! постоянно задержки, заказ везут от num мин до num.num!!!! постоянно привозят просрочку!"
164,в последнее время стала медленнее доставка
165,красота
166,я рот ебал у в
167,"чаще товар доставляется не первой свежести, доставка на уровне ниже среднего, поддержка тоже самое"
168,"не указывайте, что курьер будет через numnum минут, когда по факту он только через num минут приходит"
169,привезли не тот заказ
170,цены очень кусаются
171,"удобный сервис, хорошо бы увеличить ассортимент и улучшить качество предлагаемых продуктов, что цена и качество продуктов больше соотносились друг с другом."
172,доставка долгая стала
173,"за обещанные num, и даже num минут заказ не довозится. часто, продукты с заканчивающимся сроком годности."
174,долгое ожидание по вечерам
175,"сервис отличный и идея такой быстрой доставки просто огонь. но! у дарксторов огромные проблемы с овощами, иногда и с фруктами. я уже не рискую их заказывать, каждый раз приезжает какаято часть или вс из овощей и фруктов с гнилью, плесенью или иными ве"
176,хуево думаю
177,плохое приложение очень сильно тупит телефон мощный ассортимент маленький качество продуктов не очень хорошее
178,говно
179,не об этом думать надо в такое время
180,долго доставляют
181,дорого
182,"цены значительно выше, чем в других магазинах"
183,"долго доставляют , никогда за num мин не привозили . еда от бренда самокат , полное говно . сосиски за num есть невозможно , вообще . когда только открылись было отлично , сейчас же все печально . продукты постоянно какие то странные . честно мое мнение."
184,"цены в num раз дороже чем в магазине, вечно опаздывают, слишком мало товаров."
185,"мне не нравиться когда мне звонит курьер и его не понять, плохо знают язык даже на уровне работы, может стоит их обучать банальным фразам? типо я приехал, спускайтесь! или я подъезжаю, спускайтесь! ну и тд."
186,очень долгая доставка
187,"оформление заказа от num руб, при том, что необходимо самое минимальное молоко, приходится набирать не нужное. из num раз при возникшей необходимости оформила первый раз. раньше шоколадку можно было купить. плохо."
188,не соответствует действительности
189,"видимо везт сильно мне но курьеры все какие то странные, все написано в комментариях подробно, они все равно стоят и ждут, а потом ругаются что они долго ждут научите читать курьеров комментарии"
190,не играйте в доту пацаны
191,"хорошая компания, но хотелось бы иметь способ отказа от продукта при доставке, если качество плохое. то есть сразу вернуть товар и деньги за него."
192,курьер привез пробитую бутылку воды.
193,ранее заказ был от num сейчас от num не очень !
194,отвратительная клиентоориентированность. привозят сроки продуктов numnum дня. могут забыть позиции
195,обман со временем доставки
196,долгая доставка
197,курьеры стали очень долго доставлять заказ
198,не везде доставляют
199,"колво товара сильно зависит от района. пожалуйста,увеличьте ассортимент"
200,"вы полное дермище, самый худший лоукостер в рф"
201,в последнее время очень долго доставляют и долго собирают и обрабатывают заказ. яндекс num в этом плане намного оперативнее
202,"нравится самокат в плане доставки, сервиса и некоторых интересных продуктов, но часто предпочитаю яндекс.лавку за счт более крупного и разнообразного ассортимента и доступных цен"
203,"бывают задержки с доставкой, хотелось бы их избежать и нет промокодов"
204,"некоторые продукты неоправданно дорогие, доставка в последнее время стала лучше, приезжает не через пол года, а чуть раньше. продукты первой необходимости есть и это хорошо, но ассортимента хотелось бы побольше, особенно фруктов и ягод"
205,"неаккуратная доставка  упаковки помятые, может открыться и пролиться. упакованные продукты приезжают с плесенью. овощи и фрукты иногда просто незрелые. хорошо бы иметь возможность ставить оценку продуктам и видеть рейтинг"
206,"с кайфом, но цены перегнуты"
207,ужасная доставка
208,очень маленький ассортимент с высокими ценами. не нравится что заказ нельзя оставить у двери
209,"вместо numnum минут, стали доставлять от num минут, в течении долгого времени"
210,стали хуже
211,часто проблема изза долгой доставки
212,"если заказываю овощи в сетке, все остальные продукты в земле. поэтому перестала их заказывать."
213,"иногда бывает долгое ожидание, мало продуктов без глютена без сахара и лактозы ."
214,мяу мяу мяу мяу мяу мяу
215,"осадок после испорченной курицы, привезенной курьером, остался и заказывать подобного рода продукты теперь, через ваш сервис, небезопасно."
216,совершенно не можете доставлять заказы
217,к сожалению стали часто привозить просроченную продукцию.
218,"я обожаю самокат. вчера я хотела заказать кофе в дрипах ассорти. и на него была скидка num, нов не успела до numnum и на следующий день они уже были без скидки"
219,ничего
220,"мне нравится, я часто заказываю продукты у вас. но достаточно часто они приезжают испорченные"
221,"очень нравится, на самом деле первый раз заказывал продукты именно в самокате"
222,"вечером курьера иногда думаешь , что не дождешься , так долго ждать"
223,"абсолютно неадекватная скорость доставки заказов. нет никаких num минут даже в разгруженные дни  часа. нет возможности выйти на связь с курьером, чтоб он сообщение через сколько будет на месте это часто очень нужно, ибо доставка необходима в краткий срок"
224,успехов в работе .
225,доставка с момента списания позиционируется за num минут. фактически время ожидания в не часы пик достигает numnum минут.
226,"удобное приложение, главное, что курьерам и фасовщиками работается комфортно. единственный минус  не всегда свежая еда, иногда привозят просроченную!"
227,"никогда не знаешь, с задержкой привезут или нет, ходовых товаров мало и их раскупают"
228,"очень долгая доставка, вместо заявленных num минут доставку бывает по num,num часа"
229,"доставка иногда бывает очень долгая. товары привозят в отвратительном виде. ассортимент не очень большой,бывает что нет самых ходовых продуктов.."
230,"очень удобный сервис, но хотелось бы, чтобы вы расширили ассортимент"
231,"в целом все нравилось, но несколько раз были проблемы с доставкой, задержки на большое время, и все это в районе академа. поэтому общее впечатление испортилось. но пользоваться продолжаю, нравится ассортимент товаров."
232,"ни одна доставка не занимает num минут, всегда около num"
233,долгая доставка
234,готовая еда отвратительного качества
235,качество продуктов иногда желает лучшего..
236,"время доставки вообще перестало соответствовать тому, что написано в приложении. заказ жду час и больше. цены на некоторые позиции слишком завышены. приложение работает некорректно. но самое печальное  это встаки время доставки."
237,"кучка извращенцев, гореть вам в аду!"
238,поддержка не отвечает уже num неделю
239,"для чего писать в приложении, что доставка num минут и везти заказ больше num минут? что за неуважение к клиенту, за все это потерянное время, мы могли бы сами уже num раза сходить в магазин, а не ждать. даже не пишут через сколько курьер будет, сиди и гадай"
240,раньше было лучше
241,иногда долгое ожидание
242,"заказываю через сбермаркет  там удобнее, но уже неделю выдат ошибку невозможно заказать самокат"
243,курьеры очень часто задерживают заказы на час когда спрос маленький
244,"цены выше, чем в аналогичных маркетах  это плохо"
245,очень долго везут заказ!!!
246,"когда лень идти за черешней  есть самокат. то есть первое, что придет в голову  ваша доставка. не яндекс маркет, а вы "
247,не хватает отзывов о продуктах .
248,захожу в самокат только из за доставки в течение numмин. когда она дольше  приложение фактически теряет свою ценность
249,бывает просрочка или кислая молочка. долгая доставка
250,"следите за качеством товара! привезти пакет продуктов где гнилые яблоки растеклись на весь пакет! это наглость! и поддержка может вернуть только стоимость этих яблок, а остальное все, пропахшее гнилью и все в слизи как есть предлагаете?я посмотрю на вас!"
251,больно дорого
252,очень часто проблемы с задержкой.... num случаев опоздание и задержка ....
253,"очень долго доставляют в последнее время. когда заказываю с самоката, значит мне нужно быстро. если бы мне нужна была доставка через час, я бы в магазин сходила. вы либо исправьте статус num минут, либо приносите за эти num минут."
254,вечные опоздания. часто испорченные продукты.
255,криво работает возврат денежных средств!
256,"цены достаточно высокие. непомерные деньги за фрукты и овощи. маркетинговый ход понятен с меньшим весом. но numnum грамм по цене килограмма  это жесть. невозможно сделать num корзины. отложить в отдельную папку то, что нужно купить на завтра, вроде списка"
257,долгая доставка
258,нужно улучшать ассортимент
259,"цены на овощи, фрукты настолько завышены относительно среднерыночных, что глаза на лоб лезут"
260,"ужасно, поддержка нормально не работает, доставки спустя час нет."
261,часто доставляют испорченные продукты
262,цены выше чем в обычном магазине
263,уже минут num жду пока доставку передадут курьеру и неизвестно сколько я еще прожду и такое случается не первый раз!
264,"последний месяц собирают заказ дольше, чем обещанное время доставки вне зависимости от загруженности"
265,"очень часто задерживают доставку, осуществляют дольше положенного"
266,"сильно упал сервис доставки, товары однотипные, ничего нового не появляется  в плане еды"
267,доставка практически никогда не бывает num минут. это очень печально
268,"все норм, но че так дорого?!"
269,devochkavensdeigrustniemojitimnenravishsyatemchtoninakogonepohozha 
270,в последнее время долго доставляете заказ который за num минут уже num и то только собирают
271,"быстрая доставка, но цены намного дороже, чем у других доставок, поэтому заказываю у вас только при повышенном спросе в других доставках. не хватает акций."
272,отвратительно
273,"вообще самокат люблю, часто заказываю, все вроде хорошо. но есть неприятные моменты с доставкой, если ждешь num минут, вместо num даже не извиняются. а когда перепутали заказы, обещают что привезут мой заказ через num минут и ошибочный заказ можно оставлять"
274,верните список избранного на место.
275,"порой цены слишком высокие, это расстраивает."
276,вы крутые
277,"numnum раза было так, что привозили не свежие продукты. время доставки в приложении не совпадает с фактическим временем, доставка в среднем numnum минут, хотя написано всегда num"
278,"улучшайте ассортимент сладкого, цены выше среднего"
279,"дорого, поддержка долго отвечает. заказы приходят долго. оплаты наличными нету."
280,"ждм по num,num часа а операторы тупо молчат"
281,"разнообразие есть, но мало. вкусвилл пока выигрывает во многом."
282,ну хорошо ну может быть лутше
283,очень нравится скорость доставки
284,
285,"вечные опоздания, часто заказываем мороженое и оно приходит либо в смятку, либо растаявшее"
286,"курьеры не ответственные, постоянно опаздывают, комментарий к заказу не читают"
287,"нормально вроде все, но за сроками хранения следите и за условиями"
288,все нравится
289,все круто но цена кусается иногда и не очень вкусная готовая еда
290,"я больше предпочитаю яндекс лавку. когда у нас она появится в городе, и я уйду туда. а пока е нет я буду пользоваться самокатом"
291,"дорого! очень дорого! плюс некачественные продукты. доставка курьером в последнее время долгая,приходится не дожидаться и отменять заказ!!!"
292,"хотелось бы,чтобы цены были чутьчуть пониже, потому,что даже в магазинах дешевле намного"
